name,episode,youtube_link,score,transcript,len,reoccuring_guest
Brian Holtzman,Min #11 — KT #690,N/A,0.733,"You think the blind guy is tripping over himself back stage. I just wanna be on a Kill Tony where everyone is healthy. I like my friends to be healthy, that's all. [Pulls out baby oil] I never go anywhere without my baby oil. [Points at random woman in the audience] Room number? P Diddy you know, in case you're travelling on the plane you always wanna have a small size [grabs small baby oil bottle]. P Diddy, I mean do you have to fuck everyone? We all have dildos in the house, but not 1300. Your wife's sister comes over, ""can I put this dildo in your ass?"". [Cat meow goes]. FUUUUUUUUUUCKKKKK. You know how hard it is to get your luggage back in a plane crash you survived? I was in first class, everybody was killed, I want my bag back. It was a blue bag with a white stripe and I want my motherfucking bag back. I don't care, I want my goddamn bag back. Why do women work out in the gym? I want a girlfriend that can snap my neck, oh yeah that's why I want. I want a girlfriend who can snap my fucking neck. Get the fuck outta the gym you come back I'm gonna rape ya. I'm not gonna rape anybody, I don't even have a knife. I know this is Kill Tony so I have to make sure I don't repeat myself or you'll never fucking see me again. Raise your hand if you're handicapped? [Couple people raise their hands]. Do you have to keep parking in the handicapped spot even when it's late at night? No I don't go to rich peoples homes, you don't go to rich people's homes. I was at a party in the Hollywood Hills once and they had a women taking a poo on the bottom of a glass coffee table [looks up]. I wanted to fit in so I got under there and I found it quite rewarding. There was a fat chick stealing Heinekens out of the refrigerator they tied her to a straight back chair and tortured her. Everybody lined up and took turns telling her fat jokes. One person thought that was funny [points to crowd]. Somebody who likes fat chicks I guess. No you've been a great audience and I'm wearing this tonight because uh I got a job at Benihana.",2037,Nope
Edgar Sandavol,Min #12 — KT #689,N/A,0.7,"Excited to be here but I have to get this off my chest. My brother owns a restaurant, it's called the Asian Palate. And three times in one year, there are victims or some racist vandalism. Last time it happened someone carved out on the wall, F-U-C-K Asians, which was very upsetting for out family because clearly it was premeditated. Clearly someone went there with hate and intent. Because you can't go someone called the Asian Palate, and be surprised by Asian people and Asian food. It's called the Asian Palate, its not a surprise its in the name. Its like when I go to the Cracker Barrel. I can't go to he Cracker Barrel and act surprised by chicken fried steak and white people. Its in the name.",703,Nope
Mike Gleeson,Min #9 — KT #730,https://youtu.be/7AgDQxUvq6w&t?t=5713,0.37200000000000005,"How's it going? A lot of my friends say that I'm really hard to get gifts for. I don't think it's that hard to hop online and Google things that to get for people with yellow teeth. That was an incredibly fake smile. Sorry about that. I'm from Chicago. I'm in the dating scene here, which is pretty good. Took a chick out the other day, which is awesome. Opened up the car door for her and she's like, look at this. Chivalry is not dead. I'm like, easy bitch. My door sticks. I gotta climb in first. All right. Chivalry. I don't know if you're cold. The window works just fine, but that's awesome. Really big fan of these ven, these waymo's out here. You guys got, they're pretty cool. Brings back the childhood in me. I used to throw snowballs at cars, which is pretty fun. But now I feel like you could just throw anything at these things and you're feeding all these like vegans that are like hanging out in the streets doing yoga s and stuff.",946,Nope
Matt Campbell,Min #7 — KT #734,https://youtu.be/F0U3VuBrK4Y&list?t=3430,0.8270000000000001,"Hello I'm English or as you lot like to call me gay. Thank you for that I had expectations when I came to this country, guys. Everything I learned about you lot is filtered through the media you send my way. So when I was coming up, high school musical coming out. What the fuck was that? An all-white basketball team on a state championship? Fuck right off. I was also disappointed. the sequel didn't involve a school shooting scene. I was completely unprepared for these high school drills, guys. You have to understand, I didn't know a shit about basketball. Fuck me, sideways. My dad's South African, which means I'm genetically racist. But he has a poster of Mandela.",672,Nope
Ric Diez,Min #3 — KT #704,https://youtu.be/C5LxxL5XD6A&t?t=1693,0.49200000000000005,"Alright, I went to a nightclub and the waitress told me, be careful because people have been getting drugged. And I was like, oh no. Then I went to the toilet and at the urinal next to me, there was a guy peeing and he was staring right at my dick. And I noticed because I was staring right into his eyes. We don't talk much in my family, we don't talk much, we don't even have a group chat. I tried to set up the group chat, but everyone in my family was like, there's already a group. I dated a girl for a while and one day she gave me a 20 by 20 Rubik's Cube. 20 by 20 and she told me if you manage to solve this, I will suck your dick. t took me all night to unglue and re-glue.",682,Nope
William Montgomery,Min #13 — KT #749,https://youtu.be/n41jDuAwD_s&t?t=6743,0.6809999999999999,"Quick housekeeping announcement. There's an astro van parked out front. It's filled with guys in turbans reciting prayers, like frantically reciting prayers. Anyway, so I'm watching this Diddy documentary, the Reckoning. And I didn't realize that early in his career, Diddy hosted a celebrity basketball game where nine people were trampled to death when they were rushing into the gym to get a seat. Apparently they thought it was an Apex twin concert. Yeah. Is it just me or is the Taliban gotten too woke? I've always wanted to go to a Mafioso Christmas party and be like, Hey wait, this missile toe has a tiny little microphone hanging down. A teenager who wants to be a lion tamer, jumped in the lion enclosure in a Brazilian zoo. If he had not been eaten a lie by the lions, it would've gone really well. Okay. That's why Todd, thank you Tim.",848,William Montgomery
Ehsan Ahmad,Min #3 — KT #705,https://youtu.be/N4m54Rh25VU&t?t=1691,0.7979999999999999,"So Israel and Palestine just signed their ceasefire, so Hamas will talk to them. The whole thing started when Hamas paraglided into a rave, which, take the context of everything that happened outside of it away, that does sound like a great day with the boys. You know what I mean? Just smoking weed in the cave. Just Abdul, get the paragliders. Just fucking, holy shit, Abdul, it's working, it's working! Just two flags on your paraglider, one Palestinian, and then it says Saturdays are for the boys. You know, just fucking committing a terrorist attack to a rave to techno. Just digga digga da, digga digga digga da, digga digga digga da, digga digga digga da, digga digga digga da, digga digga digga da. That was Sandstorm by The Root, in case you missed it",761,Nope
William Montgomery,Min #12 — KT #692,https://youtu.be/HfSDjDxJAm8&t?t=6727,0.779,"On the way here my girlfriend and I pulled up to an intersection, and there was a homeless guy wearing a Nirvana shirt, and my girlfriend rolls down the window and says, ""name 4 songs dumbass"". My agent called me the other day and said he thinks there might be a WW3, and I said, ""great, could there be a part in it for me?"". And then I started thinking about it and the last thing we need is another Hollywood reboot. What's harder, finding Where's Waldo or going to a rap concert and figure out which one on stage is the rapper? It's like they're all kinda wearing the same thing on stage but they're not.",607,William Montgomery
Darren Jones,Min #4 — KT #727,https://youtu.be/8Y9LGrRKWqo&t?t=2020,0.728,"All right. I don't know what's going on. Must be a black bang or so shit. Alright, that's cool. But I heard they put aborted fetuses and some vaccines. That shit tripped me out when I first heard it. I'm like, damn man, I'm glad I ain't get that shot. Had blended baby in my motherfucking arm, boy. Like depending on like who got the abortion, you gonna have the essence of a trauma filled bitch and an unwed seed in your motherfucking van. She would've fucked my circadian rhythm up. Nigga wouldn't have been able to get no motherfucking sleep. But human beings, they fucking resilient though. It was this dude who was protesting climate change and he set his himself on fire. I'm like, damn, I wish the people who blocked the road to do that shit.",749,Nope
Javier Ramirez,Min #5 — KT #708,https://youtu.be/GZuIpWgRzgo?t=2860,0.462,"Hello everybody. Hello World. Good to be here. Okay, let's talk about it. Contrary to popular belief, I have not yet gone through puberty. I am puberty. That is my favorite way to say, I say I go inside of teenagers. Huh? Who's with me? No. Oh no. But yeah, I just moved back to America. Very happy about that. It's cool to see slimy people sell everything, even kids. So wonder what a commercial will let Yeah. Come on down. We're running a sale on new children, with features such as feistiness and easy disposability. Oooh. Call now or visit our website, the Clinton foundation.org. Yeah. Do you guys like impressions? Yes. Yes. Alright, here's one. I have a pussy. I promise. That's Michelle Obama. Usually I'm not good at those, but that one is spot on. Alright, thank you.",778,Nope
